"service_id","date","exception_type"
"GO201_1617","20160601","1"
"GO201_1617","20160602","1"
"GO201_1617","20160606","1"
"GO201_1617","20160607","1"
"GO201_1617","20160608","1"
"GO201_1617","20160609","1"
"GO201_1617","20160613","1"
"GO201_1617","20160614","1"
"GO201_1617","20160615","1"
"GO201_1617","20160616","1"
"GO201_1617","20160620","1"
"GO201_1617","20160621","1"
"GO201_1617","20160622","1"
"GO201_1617","20160623","1"
"GO201_1617","20160627","1"
"GO201_1617","20160628","1"
"GO201_1617","20160629","1"
"GO201_1617","20160705","1"
"GO201_1617","20160706","1"
"GO201_1617","20160707","1"
"GO201_1617","20160711","1"
"GO201_1617","20160712","1"
"GO201_1617","20160713","1"
"GO201_1617","20160714","1"
"GO201_1617","20160718","1"
"GO201_1617","20160719","1"
"GO201_1617","20160720","1"
"GO201_1617","20160721","1"
"GO201_1617","20160725","1"
"GO201_1617","20160726","1"
"GO201_1617","20160727","1"
"GO201_1617","20160728","1"
"GO201_1617","20160801","1"
"GO201_1617","20160802","1"
"GO201_1617","20160803","1"
"GO201_1617","20160804","1"
"GO201_1617","20160808","1"
"GO201_1617","20160809","1"
"GO201_1617","20160810","1"
"GO201_1617","20160811","1"
"GO201_1617","20160815","1"
"GO201_1617","20160816","1"
"GO201_1617","20160817","1"
"GO201_1617","20160818","1"
"GO201_1617","20160822","1"
"GO201_1617","20160823","1"
"GO201_1617","20160824","1"
"GO201_1617","20160825","1"
"GO201_1617","20160829","1"
"GO201_1617","20160830","1"
"GO201_1617","20160831","1"
"GO201_1617","20160901","1"
"GO201_1618","20160523","1"
"GO201_1618","20160524","1"
"GO201_1618","20160525","1"
"GO201_1618","20160526","1"
"GO201_1618","20160531","1"
"GO201_1618","20160601","1"
"GO201_1618","20160602","1"
"GO201_1618","20160606","1"
"GO201_1618","20160607","1"
"GO201_1618","20160608","1"
"GO201_1618","20160609","1"
"GO201_1618","20160613","1"
"GO201_1618","20160614","1"
"GO201_1618","20160615","1"
"GO201_1618","20160616","1"
"GO201_1618","20160620","1"
"GO201_1618","20160621","1"
"GO201_1618","20160622","1"
"GO201_1618","20160623","1"
"GO201_1618","20160627","1"
"GO201_1618","20160628","1"
"GO201_1618","20160629","1"
"GO201_1618","20160630","1"
"GO201_1618","20160706","1"
"GO201_1618","20160707","1"
"GO201_1618","20160711","1"
"GO201_1618","20160712","1"
"GO201_1618","20160713","1"
"GO201_1618","20160714","1"
"GO201_1618","20160718","1"
"GO201_1618","20160719","1"
"GO201_1618","20160720","1"
"GO201_1618","20160721","1"
"GO201_1618","20160725","1"
"GO201_1618","20160726","1"
"GO201_1618","20160727","1"
"GO201_1618","20160728","1"
"GO201_1618","20160801","1"
"GO201_1618","20160802","1"
"GO201_1618","20160803","1"
"GO201_1618","20160804","1"
"GO201_1618","20160808","1"
"GO201_1618","20160809","1"
"GO201_1618","20160810","1"
"GO201_1618","20160811","1"
"GO201_1618","20160815","1"
"GO201_1618","20160816","1"
"GO201_1618","20160817","1"
"GO201_1618","20160818","1"
"GO201_1618","20160822","1"
"GO201_1618","20160823","1"
"GO201_1618","20160824","1"
"GO201_1618","20160825","1"
"GO201_1618","20160829","1"
"GO201_1618","20160830","1"
"GO201_1618","20160831","1"
"GO201_1618","20160901","1"
"GO201_1619","20160523","1"
"GO201_1619","20160524","1"
